               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,            0.023798,            0.012572,           0.0050176,             0.69288,             0.79275,             0.76309,             0.41745,            0.028609,           0.0054672,           0.0083849,           0.0096857,           0.0096857,           0.0096857
                 129,            0.024689,            0.012292,           0.0052077,             0.64391,             0.68407,             0.66837,             0.37941,             0.02717,           0.0062888,             0.02071,           0.0096832,           0.0096832,           0.0096832
                 130,            0.024413,            0.012346,           0.0048508,             0.65242,             0.70215,             0.74944,             0.42692,            0.028569,           0.0059991,            0.008671,           0.0096807,           0.0096807,           0.0096807
                 131,            0.023592,            0.012144,           0.0037836,             0.83329,             0.69118,             0.78971,             0.44001,            0.028506,           0.0056355,            0.007503,           0.0096783,           0.0096783,           0.0096783
                 132,            0.024804,            0.012246,            0.004686,             0.69686,             0.67758,             0.67643,              0.3856,            0.029426,           0.0057518,             0.01945,           0.0096758,           0.0096758,           0.0096758
                 133,            0.024642,             0.01239,           0.0047621,             0.68022,             0.69199,             0.72707,               0.392,            0.030072,           0.0060716,            0.012689,           0.0096733,           0.0096733,           0.0096733
                 134,            0.023777,            0.012572,           0.0051136,             0.65665,             0.72896,             0.69191,             0.39042,            0.028462,            0.006043,            0.017677,           0.0096708,           0.0096708,           0.0096708
                 135,            0.023764,            0.012288,           0.0053298,             0.65824,             0.72276,             0.68513,             0.35482,            0.029684,           0.0061114,           0.0098704,           0.0096684,           0.0096684,           0.0096684
                 136,            0.023899,            0.012611,           0.0056607,             0.69335,             0.73403,             0.73521,              0.3781,            0.032671,            0.005703,            0.011866,           0.0096659,           0.0096659,           0.0096659
                 137,            0.024822,            0.012946,           0.0050469,             0.72822,             0.77205,             0.77782,             0.40542,             0.03073,           0.0053511,           0.0074736,           0.0096634,           0.0096634,           0.0096634
                 138,            0.023952,            0.012252,           0.0051163,             0.72215,             0.66928,             0.71936,             0.39287,            0.030069,            0.005796,           0.0075045,           0.0096609,           0.0096609,           0.0096609
                 139,            0.025525,            0.012474,           0.0048334,             0.70327,             0.71495,             0.73503,             0.35801,            0.033369,           0.0056124,            0.015763,           0.0096585,           0.0096585,           0.0096585
                 140,            0.024039,            0.012237,           0.0047155,             0.66383,             0.75157,             0.75795,             0.39186,            0.031507,           0.0061111,            0.011406,            0.009656,            0.009656,            0.009656
                 141,            0.023779,            0.011893,           0.0044545,             0.65244,             0.66074,             0.68879,             0.36735,            0.028698,           0.0055974,            0.011868,           0.0096535,           0.0096535,           0.0096535
                 142,            0.023305,            0.012134,           0.0038971,             0.66849,             0.69474,              0.6881,             0.39014,            0.028357,           0.0055716,            0.016262,            0.009651,            0.009651,            0.009651
                 143,            0.023193,            0.012211,           0.0045789,             0.68719,             0.77155,             0.75687,             0.42651,            0.028858,           0.0055418,           0.0096165,           0.0096486,           0.0096486,           0.0096486
                 144,            0.023882,            0.011822,           0.0046071,             0.72406,             0.76533,             0.79368,             0.44557,            0.029034,           0.0053964,            0.013279,           0.0096461,           0.0096461,           0.0096461
                 145,            0.025282,            0.012357,           0.0049659,             0.68388,             0.72258,             0.70057,             0.38691,            0.030742,             0.00564,            0.012346,           0.0096436,           0.0096436,           0.0096436
                 146,             0.02406,            0.012311,           0.0047429,             0.60573,             0.72835,             0.71359,             0.39321,             0.02932,           0.0057404,            0.011112,           0.0096411,           0.0096411,           0.0096411
                 147,            0.023862,            0.012177,            0.005202,             0.70152,             0.73372,             0.76628,              0.4193,            0.028804,           0.0059218,           0.0088223,           0.0096387,           0.0096387,           0.0096387
                 148,            0.023592,            0.012414,           0.0040384,             0.76907,             0.62882,              0.6788,             0.35831,            0.030609,           0.0058348,            0.018576,           0.0096362,           0.0096362,           0.0096362
                 149,            0.024152,             0.01253,           0.0046736,             0.64935,             0.72024,             0.70835,             0.38659,            0.028791,            0.005698,            0.025497,           0.0096337,           0.0096337,           0.0096337
                 150,            0.024241,            0.012412,           0.0043055,             0.61032,             0.71275,             0.69972,             0.37402,            0.030643,           0.0054085,             0.02463,           0.0096312,           0.0096312,           0.0096312
                 151,            0.024012,            0.012281,            0.004339,             0.72883,             0.76268,             0.80004,             0.46077,            0.027672,           0.0054879,           0.0096957,           0.0096288,           0.0096288,           0.0096288
                 152,            0.023644,            0.012521,           0.0042135,             0.68636,             0.71782,             0.75352,             0.42694,            0.028693,           0.0055368,           0.0097737,           0.0096263,           0.0096263,           0.0096263
